PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2013_ALABAMA,ALABAMA,2013,744548,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737,643522,9415,59757,55719,58799,48965,458327,218705,686447,232.8613325,269.1942806,218.5759534,269.5337264
2013_ALASKA,ALASKA,2013,131091,2545117,320938,1707449,516730,2665933,1324649,982442,87165,248505,3247,10632,9722,9677,9500,78835,38230,120312,236.1220044,281.5595728,209.3472882,268.8033631
2013_ARIZONA,ARIZONA,2013,941726,8164324,1178356,2934165,4051803,7600581,3824071,2643742,368750,558466,8791,86258,84282,83849,84291,679992,327144,1015927,240.3049115,279.722268,213.1341315,257.4278382
2013_ARKANSAS,ARKANSAS,2013,477716,5067546,572096,3847045,648405,5226339,2545564,1694335,281692,533975,14984,39900,36321,36660,31646,294621,140185,449790,239.8905221,277.9148025,218.5238853,261.2560926
2013_CALIFORNIA,CALIFORNIA,2013,6208733,68868516,7836263,35141208,25891045,69727119,34194878,20595508,3461759,6160059,75951,506831,470515,472381,498403,3771067,1952314,5799332,233.6544646,275.9013507,212.5459679,260.4482872
2013_COLORADO,COLORADO,2013,851063,8826868,696266,3693829,4436773,8699125,4292898,2773716,365228,758041,31741,67225,66140,63820,62836,528653,249380,809774,246.975708,289.6818001,226.6632196,261.9644908
2013_CONNECTICUT,CONNECTICUT,2013,517812,10319361,434543,3870444,6014374,9758850,5562212,2966636,359881,487318,16922,38274,39810,41460,40775,321966,169038,507926,243.4402974,285.2439723,229.5815994,261.5024557
2013_DELAWARE,DELAWARE,2013,118685,1930466,151096,1124112,655258,1924626,1030897,560882,97722,157935,1413,10488,10069,9993,8536,81303,38483,121199,243.1077582,282.3382986,225.7716512,271.0090869
2013_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2013,44179,1300036,129874,0,1170162,1308438,559940,332997,39825,375676,11867,7174,4826,4425,3326,41239,17717,70823,228.5672539,265.2593657,205.6139369,274.4595425
2013_FLORIDA,FLORIDA,2013,2680074,24681548,3027018,9455562,12198968,25245400,13833236,7622221,1689414,1411455,56470,209318,198411,206698,183422,1647922,807034,2511426,241.6758096,280.8558396,227.4631766,265.9849815
2013_GEORGIA,GEORGIA,2013,1682620,17459504,1805878,7580785,8072841,17317504,9555687,4956142,932291,1632844,45427,136658,129329,131295,103094,1051792,490032,1587251,240.0472366,279.1791109,221.8367125,247.7391537
2013_HAWAII,HAWAII,2013,184760,2331770,310778,1962923,58069,2345917,1283872,770643,144746,146656,1577,17561,14810,13228,10925,116670,50806,169053,243.3086189,281.4129223,214.8438799,276.9943674
2013_IDAHO,IDAHO,2013,272070,2015534,237912,1278155,499467,1967676,1113400,631575,107264,62882,4081,23396,22803,21991,21063,181856,87143,273080,240.7220198,286.4138816,219.302986,265.8282971
2013_ILLINOIS,ILLINOIS,2013,2069823,30057886,2311235,10382540,17364111,29517831,15285224,9509657,986182,1942608,80953,145117,152779,154578,144566,1219389,621531,1921873,239.000204,284.8976472,218.5401839,264.6157135
